date,serial_number,model,failure,smart_4_raw,smart_7_raw,smart_9_raw,smart_190_raw,smart_193_raw,smart_194_raw,smart_240_raw,smart_241_raw,smart_242_raw
2021-07-25,S301KWJY,ST4000DM000,0,19.0,983881959.0,50295.0,27.0,6597.0,27.0,50232.0,64283707880.0,298488946409.0
2021-07-26,S301KWJY,ST4000DM000,0,19.0,986659063.0,50319.0,28.0,6597.0,28.0,50256.0,64300686976.0,298722183856.0
2021-07-27,S301KWJY,ST4000DM000,0,19.0,988333279.0,50343.0,27.0,6597.0,27.0,50280.0,64324028912.0,298988640894.0
2021-07-28,S301KWJY,ST4000DM000,0,19.0,990171186.0,50367.0,27.0,6597.0,27.0,50304.0,64340281496.0,299188156197.0
2021-07-29,S301KWJY,ST4000DM000,0,19.0,991611526.0,50391.0,28.0,6597.0,28.0,50327.0,64359551168.0,299329986049.0
2021-07-30,S301KWJY,ST4000DM000,0,19.0,992959106.0,50414.0,28.0,6597.0,28.0,50351.0,64380688912.0,299618938359.0
2021-07-31,S301KWJY,ST4000DM000,0,19.0,994387121.0,50438.0,26.0,6597.0,26.0,50375.0,64400699776.0,299915398916.0
2021-08-01,S301KWJY,ST4000DM000,0,19.0,996534434.0,50462.0,27.0,6597.0,27.0,50399.0,64416658544.0,300170829782.0
2021-08-02,S301KWJY,ST4000DM000,0,19.0,595169.0,50486.0,26.0,6597.0,26.0,50423.0,64432017000.0,300475077232.0
2021-08-03,S301KWJY,ST4000DM000,0,19.0,1018657.0,50510.0,26.0,6597.0,26.0,50447.0,64438868280.0,300561423675.0
2021-08-04,S301KWJY,ST4000DM000,0,19.0,2411850.0,50534.0,26.0,6597.0,26.0,50470.0,64457870424.0,300737480413.0
2021-08-05,S301KWJY,ST4000DM000,0,21.0,4251021.0,50559.0,26.0,6599.0,26.0,50495.0,64473795440.0,300834599750.0
2021-08-06,S301KWJY,ST4000DM000,0,21.0,5296573.0,50583.0,27.0,6599.0,27.0,50519.0,64489571752.0,301020833757.0
2021-08-07,S301KWJY,ST4000DM000,0,21.0,6529789.0,50606.0,26.0,6599.0,26.0,50543.0,64515395856.0,301225420718.0
2021-08-08,S301KWJY,ST4000DM000,0,21.0,7872490.0,50630.0,26.0,6599.0,26.0,50567.0,64536966384.0,301485549964.0
2021-08-09,S301KWJY,ST4000DM000,0,21.0,10594747.0,50654.0,26.0,6599.0,26.0,50591.0,64550830112.0,301730311032.0
2021-08-10,S301KWJY,ST4000DM000,0,21.0,11661242.0,50678.0,26.0,6599.0,26.0,50614.0,64565670360.0,301944788031.0
2021-08-11,S301KWJY,ST4000DM000,0,21.0,13089999.0,50701.0,26.0,6599.0,26.0,50638.0,64577659152.0,302136592126.0
2021-08-12,S301KWJY,ST4000DM000,0,21.0,14703395.0,50725.0,26.0,6599.0,26.0,50662.0,64592215600.0,302255897833.0
2021-08-13,S301KWJY,ST4000DM000,0,21.0,15710682.0,50749.0,26.0,6599.0,26.0,50685.0,64607119592.0,302456651601.0
2021-08-14,S301KWJY,ST4000DM000,0,21.0,18092375.0,50772.0,26.0,6599.0,26.0,50709.0,64624321352.0,302692448784.0
2021-08-15,S301KWJY,ST4000DM000,0,21.0,19382157.0,50796.0,26.0,6599.0,26.0,50733.0,64646889720.0,302913981725.0
2021-08-16,S301KWJY,ST4000DM000,0,21.0,22178786.0,50820.0,26.0,6599.0,26.0,50757.0,64663146440.0,303210750987.0
2021-08-17,S301KWJY,ST4000DM000,0,21.0,23396683.0,50844.0,26.0,6599.0,26.0,50781.0,64676145008.0,303425717635.0
2021-08-18,S301KWJY,ST4000DM000,0,21.0,24466749.0,50868.0,25.0,6599.0,25.0,50805.0,64702681304.0,303581790730.0
2021-08-19,S301KWJY,ST4000DM000,0,21.0,26258740.0,50892.0,26.0,6599.0,26.0,50829.0,64720740576.0,303660024827.0
2021-08-20,S301KWJY,ST4000DM000,0,21.0,27571074.0,50917.0,26.0,6599.0,26.0,50854.0,64743931880.0,303984629231.0
2021-08-21,S301KWJY,ST4000DM000,0,21.0,28638464.0,50941.0,27.0,6599.0,27.0,50878.0,64757178184.0,304232887459.0
2021-08-22,S301KWJY,ST4000DM000,0,21.0,30646937.0,50965.0,26.0,6599.0,26.0,50902.0,64776318168.0,304495478814.0
2021-08-23,S301KWJY,ST4000DM000,0,21.0,34367157.0,50989.0,26.0,6599.0,26.0,50926.0,64797619744.0,304852202906.0
2021-08-24,S301KWJY,ST4000DM000,0,21.0,36093230.0,51013.0,26.0,6599.0,26.0,50950.0,64813627368.0,305089198891.0
2021-08-25,S301KWJY,ST4000DM000,0,21.0,37653964.0,51037.0,26.0,6599.0,26.0,50973.0,64826775504.0,305230671785.0
2021-08-26,S301KWJY,ST4000DM000,0,21.0,39619556.0,51061.0,29.0,6599.0,29.0,50997.0,64845439584.0,305375101950.0
2021-08-27,S301KWJY,ST4000DM000,0,21.0,40798396.0,51084.0,28.0,6599.0,28.0,51021.0,64865572280.0,305532518115.0
2021-08-28,S301KWJY,ST4000DM000,0,21.0,42743259.0,51108.0,28.0,6599.0,28.0,51045.0,64881961744.0,305701169056.0
2021-08-29,S301KWJY,ST4000DM000,0,21.0,43614310.0,51132.0,28.0,6599.0,28.0,51069.0,64905989368.0,305766520605.0
2021-08-30,S301KWJY,ST4000DM000,0,21.0,46524811.0,51156.0,29.0,6599.0,29.0,51093.0,64927165232.0,305971352439.0
2021-08-31,S301KWJY,ST4000DM000,0,21.0,48231956.0,51180.0,28.0,6599.0,28.0,51117.0,64945649464.0,306172131402.0
2021-09-01,S301KWJY,ST4000DM000,0,21.0,49680239.0,51204.0,27.0,6599.0,27.0,51141.0,64963292072.0,306285788052.0
2021-09-02,S301KWJY,ST4000DM000,0,21.0,51478197.0,51228.0,27.0,6599.0,27.0,51165.0,64979298848.0,306379433447.0
2021-09-03,S301KWJY,ST4000DM000,0,21.0,52630054.0,51252.0,28.0,6599.0,28.0,51189.0,65000972856.0,306543065164.0
2021-09-04,S301KWJY,ST4000DM000,0,21.0,54277669.0,51276.0,28.0,6599.0,28.0,51213.0,65017777168.0,306724388641.0
2021-09-05,S301KWJY,ST4000DM000,0,21.0,55476608.0,51300.0,28.0,6599.0,28.0,51237.0,65032730880.0,306865706082.0
2021-09-06,S301KWJY,ST4000DM000,0,21.0,57917846.0,51324.0,28.0,6599.0,28.0,51261.0,65044201768.0,307030371482.0
2021-09-07,S301KWJY,ST4000DM000,1,21.0,58916177.0,51348.0,29.0,6599.0,29.0,51284.0,65056662568.0,307173876106.0
